date,symbol,sector_code,company_name,open,high,low,close,volume,prev_close
2021-01-21,FFC-CFEB,40,FFC-CFEB,0.0,0.0,0.0,112.6,0,112.72
2021-01-21,FFC-CJAN,40,FFC-CJAN,0.0,0.0,0.0,111.62,0,111.74
2021-01-21,FFC-CMAR,40,FFC-CMAR,0.0,0.0,0.0,113.58,0,113.7
2021-01-21,FFC-JAN,40,FFC-JAN,0.0,0.0,0.0,111.66,0,111.77
2021-01-21,FFL,0810,Fauji Foods Ltd,18.66,19.3,18.6,19.1,23037500,18.56
2021-01-21,FFLM,0819,1st.Fid.Leasing,3.9,3.9,3.9,3.9,4000,3.7
2021-01-21,FHAM,0819,Habib Modaraba,9.75,10.0,9.75,10.0,62000,10.12
2021-01-21,FIMM,0819,Imrooz Modaraba,95.67,95.67,95.67,95.67,100,89.0
2021-01-21,FLYNG,0804,Flying Cement,11.1,11.44,11.1,11.15,417500,11.18
2021-01-21,FML,0829,Feroze 1888,120.1,123.0,118.2,118.35,30500,120.03
2021-01-21,FNEL,0813,F. Nat.Equities,20.2,21.4,20.2,20.3,2746000,20.19
2021-01-21,FPJM,0819,Punjab Mod,2.72,2.74,2.5,2.67,8500,2.57
2021-01-21,FRCL,0811,Frontier Ceram,25.3,26.24,25.1,25.8,15500,24.84
2021-01-21,FRSM,0826,Faran Sugar,42.5,42.5,42.0,42.0,5000,42.97
2021-01-21,FTMM,0819,F.Treet Manuf,16.17,17.99,16.16,17.56,7500,17.47
2021-01-21,FUDLM,0819,U.D.L.Modaraba,12.5,12.5,12.3,12.5,5500,12.45
2021-01-21,FZCM,0830,Fazal Cloth,194.0,198.76,193.0,198.76,10400,184.9
2021-01-21,GAIL,0801,Ghani Automobile,6.15,6.27,6.0,6.19,183000,6.15
2021-01-21,GAMON,0818,Gammon Pak,12.7,13.45,12.5,13.0,16000,13.0
2021-01-21,GATI,0827,Gatron Ind.,600.0,600.0,600.0,600.0,100,619.99
2021-01-21,GATM,0829,Gul Ahmed,44.44,45.75,44.4,44.56,2783500,44.63
2021-01-21,GATM-CFEB,40,GATM-CFEB,0.0,0.0,0.0,45.05,0,45.16
2021-01-21,GATM-CJAN,40,GATM-CJAN,0.0,0.0,0.0,44.66,0,44.77
2021-01-21,GATM-CMAR,40,GATM-CMAR,0.0,0.0,0.0,45.44,0,45.55
2021-01-21,GATM-JAN,40,GATM-JAN,44.56,45.7,44.5,44.65,645500,44.8
2021-01-21,GFIL,0829,Ghazi Fabrics,5.89,6.05,5.75,6.04,79500,5.66
2021-01-21,GGGL,0811,GhaniGlobalGlassXR,14.9,16.07,14.81,16.07,734000,14.95
2021-01-21,GGL,0805,Ghani Glo Hol,16.7,17.5,16.54,17.06,2943500,16.71
2021-01-21,GHGL,0811,Ghani Glass LtdXR,61.0,62.0,60.4,61.67,314000,60.73
2021-01-21,GHNI,0801,Ghandhara Ind.,310.5,312.0,307.12,307.62,229300,308.57
2021-01-21,GHNI-JAN,40,GHNI-JAN,310.05,312.5,308.0,308.72,172000,309.96
2021-01-21,GHNL,0801,Ghand Nissan,112.0,114.0,110.65,111.14,482000,111.65
2021-01-21,GHNL-JAN,40,GHNL-JAN,112.5,114.0,111.1,111.5,175000,111.91
2021-01-21,GLAXO,0823,GlaxoSmithKline,186.0,187.49,185.3,185.69,8000,186.55
2021-01-21,GLPL,0810,Gillette Pak,360.0,363.05,356.0,356.0,1100,357.11
2021-01-21,GLPLR,0810,Gillette Pak(R),329.99,332.0,325.0,326.1,3600,332.01
2021-01-21,GRYL,0815,Grays Leasing,5.69,5.69,5.11,5.11,21500,5.35
2021-01-21,GSKCH,0823,Glaxo Healthcar,269.99,270.0,266.1,268.07,6700,269.99
2021-01-21,GTYR,0802,General Tyre,81.2,82.0,80.25,80.77,227000,81.34
2021-01-21,GTYR-JAN,40,GTYR-JAN,81.97,82.36,80.77,81.18,49500,81.56
2021-01-21,GVGL,0811,Ghani Value Glas,52.0,52.0,51.0,51.11,75000,51.55
2021-01-21,GWLC,0804,Gharibwal Cement,38.01,39.48,38.0,38.65,202000,37.98
2021-01-21,HABSM,0826,Habib SugarXD,31.85,31.95,31.5,31.5,26500,31.75
2021-01-21,HAEL,0829,Hala Enterprise,10.5,10.6,10.24,10.6,89000,9.6
2021-01-21,HASCOL,0821,Hascol Petrol,14.5,14.62,14.26,14.32,7495010,14.43
2021-01-21,HASCOL-CFEB,40,HASCOL-CFEB,0.0,0.0,0.0,14.48,0,14.6
2021-01-21,HASCOL-CJAN,40,HASCOL-CJAN,0.0,0.0,0.0,14.35,0,14.48
2021-01-21,HASCOL-CMAR,40,HASCOL-CMAR,0.0,0.0,0.0,14.6,0,14.73
2021-01-21,HASCOL-JAN,40,HASCOL-JAN,14.55,14.64,14.31,14.36,2570500,14.49
2021-01-21,HBL,0807,Habib Bank,141.54,143.5,140.5,142.81,1571769,141.54
2021-01-21,HBL-CFEB,40,HBL-CFEB,0.0,0.0,0.0,144.38,0,143.23
2021-01-21,HBL-CJAN,40,HBL-CJAN,0.0,0.0,0.0,143.12,0,141.98
2021-01-21,HBL-CMAR,40,HBL-CMAR,0.0,0.0,0.0,145.63,0,144.47
2021-01-21,HBL-JAN,40,HBL-JAN,141.51,143.5,141.5,142.98,589500,141.76
