====================================================================================================
EOD OHLCV DATA SOURCE VERIFICATION REPORT
Generated: 2026-02-01 19:05:30
====================================================================================================

SUMMARY
--------------------------------------------------
  Market Summary CSV files: 915
  Closing Rates PDF files:  1
  Dates in Database:        1259

  Dates in CSV but not DB:  0
  Dates in PDF but not DB:  0
  Dates in DB but not files: 343

====================================================================================================
DETAILED DATE BREAKDOWN (showing dates with mismatches or multiple sources)
====================================================================================================
Date         CSV      PDF      DB       DB Sources                               Status
2023-08-16   669      0        672      market_summary:672                       CSV_MISMATCH
2023-08-17   639      0        642      market_summary:642                       CSV_MISMATCH
2023-08-18   649      0        652      market_summary:652                       CSV_MISMATCH
2023-08-21   642      0        645      market_summary:645                       CSV_MISMATCH
2023-08-22   629      0        632      market_summary:632                       CSV_MISMATCH
2023-08-23   645      0        648      market_summary:648                       CSV_MISMATCH
2023-08-24   636      0        639      market_summary:639                       CSV_MISMATCH
2023-08-25   649      0        652      market_summary:652                       CSV_MISMATCH
2023-08-28   638      0        641      market_summary:641                       CSV_MISMATCH
2023-08-29   654      0        657      market_summary:657                       CSV_MISMATCH
2023-08-30   653      0        656      market_summary:656                       CSV_MISMATCH
2023-08-31   641      0        644      market_summary:644                       CSV_MISMATCH
2023-09-01   608      0        611      market_summary:611                       CSV_MISMATCH
2023-09-04   628      0        631      market_summary:631                       CSV_MISMATCH
2023-09-05   613      0        616      market_summary:616                       CSV_MISMATCH
2023-09-06   624      0        627      market_summary:627                       CSV_MISMATCH
2023-09-07   634      0        637      market_summary:637                       CSV_MISMATCH
2023-09-08   630      0        633      market_summary:633                       CSV_MISMATCH
2023-09-11   615      0        618      market_summary:618                       CSV_MISMATCH
2023-09-12   603      0        606      market_summary:606                       CSV_MISMATCH
2023-09-13   604      0        607      market_summary:607                       CSV_MISMATCH
2023-09-14   619      0        622      market_summary:622                       CSV_MISMATCH
2023-09-15   629      0        632      market_summary:632                       CSV_MISMATCH
2023-09-18   623      0        626      market_summary:626                       CSV_MISMATCH
2023-09-19   633      0        636      market_summary:636                       CSV_MISMATCH
2023-09-20   628      0        631      market_summary:631                       CSV_MISMATCH
2023-09-21   639      0        641      market_summary:641                       CSV_MISMATCH
2023-09-22   640      0        643      market_summary:643                       CSV_MISMATCH
2023-09-25   665      0        668      market_summary:668                       CSV_MISMATCH
2023-09-26   667      0        670      market_summary:670                       CSV_MISMATCH
2023-09-27   667      0        670      market_summary:670                       CSV_MISMATCH
2023-09-28   660      0        663      market_summary:663                       CSV_MISMATCH
2023-10-02   648      0        651      market_summary:651                       CSV_MISMATCH
2023-10-03   646      0        649      market_summary:649                       CSV_MISMATCH
2023-10-04   662      0        665      market_summary:665                       CSV_MISMATCH
2023-10-05   678      0        681      market_summary:681                       CSV_MISMATCH
2023-10-06   672      0        675      market_summary:675                       CSV_MISMATCH
2023-10-09   655      0        658      market_summary:658                       CSV_MISMATCH
2023-10-10   664      0        667      market_summary:667                       CSV_MISMATCH
2023-10-11   688      0        691      market_summary:691                       CSV_MISMATCH
2023-10-12   645      0        648      market_summary:648                       CSV_MISMATCH
2023-10-13   684      0        687      market_summary:687                       CSV_MISMATCH
2023-10-16   683      0        686      market_summary:686                       CSV_MISMATCH
2023-10-17   664      0        667      market_summary:667                       CSV_MISMATCH
2023-10-18   659      0        662      market_summary:662                       CSV_MISMATCH
2023-10-19   679      0        682      market_summary:682                       CSV_MISMATCH
2023-10-20   668      0        671      market_summary:671                       CSV_MISMATCH
2023-10-23   669      0        672      market_summary:672                       CSV_MISMATCH
2023-10-24   657      0        660      market_summary:660                       CSV_MISMATCH
2023-10-25   666      0        669      market_summary:669                       CSV_MISMATCH
2023-10-26   693      0        696      market_summary:696                       CSV_MISMATCH
2023-10-27   694      0        697      market_summary:697                       CSV_MISMATCH
2023-10-30   685      0        688      market_summary:688                       CSV_MISMATCH
2023-10-31   699      0        702      market_summary:702                       CSV_MISMATCH
2023-11-01   679      0        682      market_summary:682                       CSV_MISMATCH
2023-11-02   679      0        682      market_summary:682                       CSV_MISMATCH
2023-11-03   693      0        696      market_summary:696                       CSV_MISMATCH
2023-11-06   699      0        702      market_summary:702                       CSV_MISMATCH
2023-11-07   692      0        695      market_summary:695                       CSV_MISMATCH
2023-11-08   701      0        704      market_summary:704                       CSV_MISMATCH
2023-11-10   704      0        707      market_summary:707                       CSV_MISMATCH
2023-11-13   705      0        708      market_summary:708                       CSV_MISMATCH
2023-11-14   695      0        698      market_summary:698                       CSV_MISMATCH
2023-11-15   686      0        689      market_summary:689                       CSV_MISMATCH
2023-11-16   702      0        705      market_summary:705                       CSV_MISMATCH
2023-11-17   706      0        709      market_summary:709                       CSV_MISMATCH
2023-11-20   708      0        711      market_summary:711                       CSV_MISMATCH
2023-11-21   718      0        721      market_summary:721                       CSV_MISMATCH
2023-11-22   716      0        719      market_summary:719                       CSV_MISMATCH
2023-11-23   721      0        724      market_summary:724                       CSV_MISMATCH
2023-11-24   718      0        721      market_summary:721                       CSV_MISMATCH
2023-11-27   716      0        718      market_summary:718                       CSV_MISMATCH
2023-11-28   717      0        719      market_summary:719                       CSV_MISMATCH
2023-11-29   713      0        715      market_summary:715                       CSV_MISMATCH
2023-11-30   704      0        706      market_summary:706                       CSV_MISMATCH
2023-12-01   721      0        723      market_summary:723                       CSV_MISMATCH
2023-12-04   717      0        719      market_summary:719                       CSV_MISMATCH
2023-12-05   709      0        711      market_summary:711                       CSV_MISMATCH
2023-12-06   712      0        714      market_summary:714                       CSV_MISMATCH
2023-12-07   729      0        731      market_summary:731                       CSV_MISMATCH
2023-12-08   723      0        725      market_summary:725                       CSV_MISMATCH
2023-12-11   716      0        718      market_summary:718                       CSV_MISMATCH
2023-12-12   715      0        717      market_summary:717                       CSV_MISMATCH
2023-12-13   743      0        745      market_summary:745                       CSV_MISMATCH
2023-12-14   720      0        723      market_summary:723                       CSV_MISMATCH
2023-12-15   722      0        724      market_summary:724                       CSV_MISMATCH
2023-12-18   709      0        711      market_summary:711                       CSV_MISMATCH
2023-12-19   716      0        718      market_summary:718                       CSV_MISMATCH
2023-12-20   694      0        696      market_summary:696                       CSV_MISMATCH
2023-12-21   684      0        686      market_summary:686                       CSV_MISMATCH
2023-12-22   684      0        686      market_summary:686                       CSV_MISMATCH
2023-12-26   700      0        702      market_summary:702                       CSV_MISMATCH
2023-12-27   688      0        690      market_summary:690                       CSV_MISMATCH
2023-12-28   711      0        713      market_summary:713                       CSV_MISMATCH
2023-12-29   689      0        691      market_summary:691                       CSV_MISMATCH
2024-01-01   707      0        709      market_summary:709                       CSV_MISMATCH
2024-01-02   705      0        707      market_summary:707                       CSV_MISMATCH
2024-01-03   693      0        695      market_summary:695                       CSV_MISMATCH
2024-01-04   690      0        692      market_summary:692                       CSV_MISMATCH
2024-01-05   688      0        690      market_summary:690                       CSV_MISMATCH
2024-01-08   687      0        689      market_summary:689                       CSV_MISMATCH
2024-01-09   672      0        674      market_summary:674                       CSV_MISMATCH
2024-01-10   687      0        689      market_summary:689                       CSV_MISMATCH
2024-01-11   672      0        674      market_summary:674                       CSV_MISMATCH
2024-01-12   688      0        690      market_summary:690                       CSV_MISMATCH
2024-01-15   681      0        683      market_summary:683                       CSV_MISMATCH
2024-01-16   661      0        663      market_summary:663                       CSV_MISMATCH
2024-01-17   663      0        665      market_summary:665                       CSV_MISMATCH
2024-01-18   671      0        673      market_summary:673                       CSV_MISMATCH
2024-01-19   664      0        666      market_summary:666                       CSV_MISMATCH
2024-01-22   655      0        657      market_summary:657                       CSV_MISMATCH
2024-01-23   675      0        677      market_summary:677                       CSV_MISMATCH
2024-01-24   674      0        676      market_summary:676                       CSV_MISMATCH
2024-01-25   676      0        677      market_summary:677                       CSV_MISMATCH
2024-01-26   664      0        666      market_summary:666                       CSV_MISMATCH
2024-01-29   680      0        682      market_summary:682                       CSV_MISMATCH
2024-01-30   680      0        682      market_summary:682                       CSV_MISMATCH
2024-01-31   686      0        688      market_summary:688                       CSV_MISMATCH
2024-02-01   685      0        687      market_summary:687                       CSV_MISMATCH
2024-02-02   678      0        680      market_summary:680                       CSV_MISMATCH
2024-02-06   671      0        672      market_summary:672                       CSV_MISMATCH
2024-02-07   690      0        692      market_summary:692                       CSV_MISMATCH
2024-02-09   664      0        666      market_summary:666                       CSV_MISMATCH
2024-02-12   696      0        698      market_summary:698                       CSV_MISMATCH
2024-02-13   697      0        699      market_summary:699                       CSV_MISMATCH
2024-02-14   676      0        678      market_summary:678                       CSV_MISMATCH
2024-02-15   677      0        679      market_summary:679                       CSV_MISMATCH
2024-02-16   666      0        668      market_summary:668                       CSV_MISMATCH
2024-02-19   685      0        686      market_summary:686                       CSV_MISMATCH
2024-02-20   711      0        713      market_summary:713                       CSV_MISMATCH
2024-02-21   698      0        700      market_summary:700                       CSV_MISMATCH
2024-02-22   700      0        702      market_summary:702                       CSV_MISMATCH
2024-02-23   697      0        699      market_summary:699                       CSV_MISMATCH
2024-02-26   675      0        677      market_summary:677                       CSV_MISMATCH
2024-02-27   682      0        684      market_summary:684                       CSV_MISMATCH
2024-02-28   690      0        692      market_summary:692                       CSV_MISMATCH
2024-02-29   691      0        693      market_summary:693                       CSV_MISMATCH
2024-03-01   681      0        682      market_summary:682                       CSV_MISMATCH
2024-03-04   700      0        702      market_summary:702                       CSV_MISMATCH
2024-03-05   698      0        700      market_summary:700                       CSV_MISMATCH
2024-03-06   695      0        697      market_summary:697                       CSV_MISMATCH
2024-03-07   676      0        678      market_summary:678                       CSV_MISMATCH
2024-03-08   683      0        685      market_summary:685                       CSV_MISMATCH
2024-03-11   683      0        685      market_summary:685                       CSV_MISMATCH
2024-03-12   655      0        657      market_summary:657                       CSV_MISMATCH
2024-03-13   673      0        675      market_summary:675                       CSV_MISMATCH
2024-03-14   677      0        679      market_summary:679                       CSV_MISMATCH
2024-03-15   660      0        662      market_summary:662                       CSV_MISMATCH
2024-03-18   653      0        655      market_summary:655                       CSV_MISMATCH
2024-03-19   662      0        664      market_summary:664                       CSV_MISMATCH
2024-03-20   665      0        667      market_summary:667                       CSV_MISMATCH
2024-03-21   684      0        686      market_summary:686                       CSV_MISMATCH
2024-03-22   657      0        659      market_summary:659                       CSV_MISMATCH
2024-03-25   660      0        661      market_summary:661                       CSV_MISMATCH
2024-03-26   666      0        667      market_summary:667                       CSV_MISMATCH
2024-03-27   682      0        683      market_summary:683                       CSV_MISMATCH
2024-03-28   686      0        687      market_summary:687                       CSV_MISMATCH
2024-03-29   678      0        679      market_summary:679                       CSV_MISMATCH
2024-04-01   648      0        649      market_summary:649                       CSV_MISMATCH
2024-04-02   664      0        665      market_summary:665                       CSV_MISMATCH
2024-04-03   655      0        656      market_summary:656                       CSV_MISMATCH
2024-04-04   652      0        653      market_summary:653                       CSV_MISMATCH
2024-04-08   667      0        668      market_summary:668                       CSV_MISMATCH
2024-04-09   672      0        673      market_summary:673                       CSV_MISMATCH
2024-04-15   681      0        682      market_summary:682                       CSV_MISMATCH
2024-04-16   693      0        694      market_summary:694                       CSV_MISMATCH
2024-04-17   679      0        680      market_summary:680                       CSV_MISMATCH
2024-04-18   677      0        678      market_summary:678                       CSV_MISMATCH
2024-04-19   691      0        692      market_summary:692                       CSV_MISMATCH
