symbol,open,high,low,close,volume,prev_close,date
NML-JAN,114.0,115.33,113.55,114.24,737,113.91,2021-01-21
NPL,27.03,28.5,27.02,27.54,543000,27.38,2021-01-21
NRL,364.99,365.0,357.0,362.17,1378600,357.54,2021-01-21
NRL-JAN,363.2,366.0,358.0,363.25,2707,358.78,2021-01-21
NRSL,13.0,13.1,12.65,12.71,4806500,12.93,2021-01-21
OGDC,110.0,111.5,110.0,110.38,1032668,110.1,2021-01-21
OGDC-CFEB,111.59,0.0,0.0,111.59,0,111.41,2021-01-21
OGDC-CJAN,110.62,0.0,0.0,110.62,0,110.45,2021-01-21
OGDC-CMAR,112.56,0.0,0.0,112.56,0,112.38,2021-01-21
OGDC-JAN,110.51,111.68,110.5,110.54,515,110.5,2021-01-21
OLPL,27.49,27.49,26.7,26.75,72500,27.0,2021-01-21
OML,11.61,12.0,11.31,11.51,6500,12.0,2021-01-21
OTSU,280.0,280.0,280.0,280.0,200,276.0,2021-01-21
PACE,4.1,4.22,4.01,4.11,1747500,4.1,2021-01-21
PAEL,39.65,40.23,39.6,39.94,3325500,39.61,2021-01-21
PAEL-CFEB,40.38,0.0,0.0,40.38,0,40.08,2021-01-21
PAEL-CJAN,40.03,0.0,0.0,40.03,0,39.73,2021-01-21
PAEL-CMAR,40.73,0.0,0.0,40.73,0,40.43,2021-01-21
PAEL-JAN,39.8,40.3,39.7,39.91,2864,39.69,2021-01-21
PAKD,102.5,109.24,102.5,109.24,4000,105.0,2021-01-21
PAKMI,2.1,2.19,2.1,2.12,22000,2.05,2021-01-21
PAKOXY,160.1,160.78,159.0,159.01,16000,160.0,2021-01-21
PAKRI,28.4,28.5,28.3,28.5,30000,28.1,2021-01-21
PAKT,1620.0,1699.0,1600.1,1601.75,800,1599.99,2021-01-21
PASL,1.1,1.15,1.1,1.1,115000,1.12,2021-01-21
PCAL,147.01,153.0,145.66,146.03,65500,148.31,2021-01-21
PESC1,106.77,106.77,106.77,106.77,200000,106.77,2021-01-21
PESC2,100.59,0.0,0.0,100.59,0,100.59,2021-01-21
PHDL,133.0,133.0,130.03,131.5,1500,134.01,2021-01-21
PIAA,4.7,4.79,4.68,4.69,493000,4.7,2021-01-21
PIBTL,12.93,13.29,12.81,12.84,31430000,12.68,2021-01-21
PIBTL-JAN,12.91,13.34,12.82,12.87,21252,12.73,2021-01-21
PICT,169.9,169.9,166.4,167.18,260500,167.14,2021-01-21
PIL,1.35,1.45,1.33,1.35,143000,1.46,2021-01-21
PINL,4.94,5.49,4.9,5.0,17500,5.49,2021-01-21
PIOC,104.88,108.95,104.7,106.27,2399500,104.36,2021-01-21
PIOC-CFEB,107.44,0.0,0.0,107.44,0,105.61,2021-01-21
PIOC-CJAN,106.5,0.0,0.0,106.5,0,104.69,2021-01-21
PIOC-CMAR,108.37,0.0,0.0,108.37,0,106.52,2021-01-21
PIOC-JAN,105.0,109.24,105.0,106.43,2345,104.71,2021-01-21
PKGP,30.01,30.8,29.85,30.52,300000,29.75,2021-01-21
PKGS,537.0,550.0,532.32,548.73,24550,532.32,2021-01-21
PMI,2.05,2.21,2.05,2.11,61000,2.2,2021-01-21
PNSC,91.5,91.75,91.0,91.0,5500,90.34,2021-01-21
POL,405.0,414.0,405.0,410.49,81233,408.92,2021-01-21
POML,231.0,231.0,231.0,231.33,200,231.33,2021-01-21
POWER,11.74,11.95,11.4,11.49,11276000,11.67,2021-01-21
POWER-CFEB,11.62,0.0,0.0,11.62,0,11.81,2021-01-21
POWER-CMAR,11.72,0.0,0.0,11.72,0,11.91,2021-01-21
POWER-JAN,11.89,11.95,11.46,11.53,3035,11.67,2021-01-21
POWERPS,12.2,12.2,12.2,12.2,1000,12.26,2021-01-21
PPL,93.5,94.7,93.5,94.23,866552,93.4,2021-01-21
PPL-CFEB,95.26,0.0,0.0,95.26,0,94.51,2021-01-21
PPL-CJAN,94.44,0.0,0.0,94.44,0,93.69,2021-01-21
PPL-CMAR,96.09,0.0,0.0,96.09,0,95.34,2021-01-21
PPL-JAN,94.0,94.8,93.65,94.24,429,93.72,2021-01-21
PPP,89.0,89.0,89.0,89.0,1500,89.0,2021-01-21
PPVC,3.7,3.85,3.7,3.85,2500,3.89,2021-01-21
PREMA,19.2,19.71,19.2,19.31,613500,19.26,2021-01-21
PRL,24.39,24.4,23.9,24.0,6364000,24.25,2021-01-21
PRL-CMAR,24.47,0.0,0.0,24.47,0,24.75,2021-01-21
PRL-JAN,24.48,24.48,23.96,24.05,7367,24.35,2021-01-21
PRWM,46.0,49.0,46.0,46.33,26000,46.0,2021-01-21
PSMC,215.47,217.89,213.0,213.56,136100,215.47,2021-01-21
PSMC-JAN,217.5,218.87,214.0,214.53,35,217.42,2021-01-21
PSO,237.05,239.88,236.02,237.46,592685,237.3,2021-01-21
PSO-CFEB,240.07,0.0,0.0,240.07,0,240.13,2021-01-21
PSO-CJAN,237.98,0.0,0.0,237.98,0,238.05,2021-01-21
PSO-CMAR,242.15,0.0,0.0,242.15,0,242.22,2021-01-21
PSO-JAN,239.22,239.9,236.66,237.6,391,237.8,2021-01-21
PSX,15.5,15.95,15.5,15.67,1180500,15.52,2021-01-21
PTC,9.55,9.59,9.3,9.34,2849000,9.51,2021-01-21
QUET,10.5,10.75,10.25,10.75,4000,10.68,2021-01-21
QUICE,4.74,4.88,4.7,4.72,242500,4.78,2021-01-21
RAVT,10.35,10.7,10.0,10.49,167000,10.68,2021-01-21
RCML,160.0,162.1,160.0,162.1,1800,150.8,2021-01-21
REDCO,6.49,6.7,6.4,6.5,11000,6.31,2021-01-21
REWM,44.6,46.0,43.6,44.55,23000,45.25,2021-01-21
